"ID","ADU","TAXON CONCEPT ID","SCIENTIFIC NAME"
1,4008,avibase-A2BB98A9,Acanthis flammea
2,161,avibase-1A0ECB6E,Accipiter badius
3,2074,avibase-8492E4B7,Accipiter brevipes
4,2076,avibase-9D80E72A,Accipiter castanilius
5,2078,avibase-AFD19C47,Accipiter erythropus
6,2080,avibase-0307D245,Accipiter francesiae
7,2082,avibase-95DD1855,Accipiter gentilis
8,2084,avibase-05701150,Accipiter henstii
9,2086,avibase-5D673E3E,Accipiter madagascariensis
10,159,avibase-819AB823,Accipiter melanoleucus
11,158,avibase-CE1CF6FD,Accipiter minullus
12,1006,avibase-DB376A66,Accipiter nisus
13,157,avibase-BAE91683,Accipiter ovampensis
14,156,avibase-EC0E680F,Accipiter rufiventris
15,160,avibase-CD18635A,Accipiter tachiro
16,2088,avibase-8AFD72B2,Accipiter toussenelii
17,539,avibase-35C5E4AF,Achaetops pycnopygius
18,734,avibase-F23A2F38,Acridotheres tristis
19,603,avibase-B283E332,Acrocephalus arundinaceus
20,606,avibase-89DFB36A,Acrocephalus baeticatus
21,3226,avibase-AAABFBE8,Acrocephalus brevipennis
22,604,avibase-4AA7817D,Acrocephalus gracilirostris
23,949,avibase-0D42A253,Acrocephalus griseldis
24,3228,avibase-E1559C49,Acrocephalus melanopogon
25,3230,avibase-6ED7C46F,Acrocephalus newtoni
26,3232,avibase-C15141A6,Acrocephalus paludicola
27,607,avibase-B675E006,Acrocephalus palustris
28,3234,avibase-DDF77AB5,Acrocephalus rodericanus
29,912,avibase-C8857CC8,Acrocephalus rufescens
30,608,avibase-FED5AED5,Acrocephalus schoenobaenus
31,911,avibase-3F0EE474,Acrocephalus scirpaceus
32,14242,avibase-3F0EE474,Acrocephalus scirpaceus
33,1176,avibase-E0E4DFB8,Acrocephalus sechellensis
34,3236,avibase-D793DF5A,Acrocephalus stentoreus
35,1260,avibase-F7A3FA35,Acryllium vulturinum
36,258,avibase-8548B07E,Actitis hypoleucos
37,1974,avibase-0D88C072,Actitis macularius
38,228,avibase-D16D486D,Actophilornis africanus
39,1996,avibase-640D2B03,Actophilornis albinucha
40,2090,avibase-158BDC90,Aegypius monachus
41,200,avibase-13967506,Aenigmatolimnas marginalis
42,1680,avibase-C983661F,Aerodramus elaphrus
43,1682,avibase-C831C041,Aerodramus francicus
44,1202,avibase-E9125492,Afropavo congensis
45,4134,avibase-C84BD649,Afrotis afra
46,1035,avibase-A6720AF5,Afrotis afraoides
47,1634,avibase-D4686ACD,Agapornis canus
48,1636,avibase-E1EE00F7,Agapornis fischeri
51,332,avibase-3EBFC893,Agapornis lilianae
52,331,avibase-DAB4D2A2,Agapornis nigrigenis
53,1638,avibase-4396F4F1,Agapornis personatus
54,1640,avibase-1E2EC99C,Agapornis pullarius
55,330,avibase-31C03CB8,Agapornis roseicollis
56,1642,avibase-D44EE47D,Agapornis swindernianus
57,1644,avibase-39DAF131,Agapornis taranta
58,1262,avibase-E0EE1B89,Agelastes meleagrides
59,1264,avibase-38193321,Agelastes niger
60,1017,avibase-E1714A09,Aix galericulata
61,10020,avibase-27B2749A,Aix sponsa
62,3466,avibase-3E4513D9,Alaemon alaudipes
63,3468,avibase-8A913C34,Alaemon hamertoni
64,3470,avibase-ED2AC04E,Alauda arvensis
65,3472,avibase-359C16F5,Alauda razae
66,3482,avibase-5392A0C7,Alaudala athensis
67,3488,avibase-FE1FE185,Alaudala rufescens
68,3484,avibase-437C0498,Alaudala somalica
69,2034,avibase-64F4DD81,Alca torda
70,1552,avibase-9505E03D,Alcedo atthis
71,959,avibase-A376DE65,Alcedo quadribrachys
72,396,avibase-F9F5CAB0,Alcedo semitorquata
73,1204,avibase-D44B2846,Alectoris barbara
74,980,avibase-87CBEBF7,Alectoris chukar
75,1842,avibase-F87511B3,Alectroenas madagascariensis
76,1174,avibase-576B77A3,Alectroenas pulcherrimus
77,1844,avibase-E396A643,Alectroenas sganzini
78,2540,avibase-DA4D7386,Alethe castanea
79,1108,avibase-ECD2AB67,Alethe diademata
80,2036,avibase-B0932D89,Alle alle
81,89,avibase-DA2F24E3,Alopochen aegyptiaca
82,820,avibase-13BE59E4,Amadina erythrocephala
84,821,avibase-CDDA63E0,Amadina fasciata
85,1032,avibase-F30FC757,Amandava amandava
86,838,avibase-ECC40D44,Amandava subflava
87,1110,avibase-47CB67FD,Amaurocichla bocagii
88,1924,avibase-60DB3117,Amaurornis olivieri
89,4483,avibase-F53518E3,Amaurornis phoenicurus
90,804,avibase-C7708C70,Amblyospiza albifrons
91,3474,avibase-20A0844D,Ammomanes cinctura
92,3476,avibase-A977348D,Ammomanes deserti
93,483,avibase-9E0E6D4E,Ammomanopsis grayi
94,1206,avibase-CD83E49E,Ammoperdix heyi
95,3238,avibase-875A131F,Amphilais seebohmi
96,1095,avibase-4834AB04,Anabathmis hartlaubii
97,1137,avibase-BFA9B759,Anabathmis newtonii
98,3602,avibase-9B953393,Anabathmis reichenbachii
99,793,avibase-4D19099B,Anaplectes rubriceps
100,886,avibase-56CCA717,Anas acuta
101,1270,avibase-D201EB72,Anas americana
102,1272,avibase-7CBD0D73,Anas bernieri
103,98,avibase-25DA0F41,Anas capensis
104,1274,avibase-DE24B98D,Anas carolinensis
105,93,avibase-ED4CE8E7,Anas clypeata
106,1276,avibase-90E2543E,Anas discors
107,97,avibase-8F6876AC,Anas erythrorhyncha
109,99,avibase-FA831F65,Anas hottentota
112,1278,avibase-9BA03AF9,Anas melleri
113,1280,avibase-15EE0D36,Anas penelope
114,1016,avibase-85625D75,Anas platyrhynchos
115,10006,avibase-07FFC1E5,Anas platyrhynchos domesticus
116,885,avibase-F577BA0F,Anas querquedula
117,94,avibase-4670CF43,Anas smithii
118,95,avibase-1EAFAD9F,Anas sparsa
119,1282,avibase-C235A4D7,Mareca strepera
120,96,avibase-7F64AD87,Anas undulata
121,74,avibase-0F14ECE4,Anastomus lamelligerus
122,551,avibase-79A45DAF,Andropadus importunus
123,52,avibase-5C7936A7,Anhinga rufa
124,854,avibase-C97A5C39,Anomalospiza imberbis
125,301,avibase-C67DCF31,Anous minutus
126,303,avibase-A070171E,Anous stolidus
127,939,avibase-03F9EB15,Anous tenuirostris
128,1284,avibase-466E9077,Anser albifrons
129,1286,avibase-4AED44E8,Anser anser
130,10004,avibase-6835DC6C,Anser anser domesticus
131,1288,avibase-184D2329,Anser erythropus
132,1290,avibase-BDB497A3,Anser fabalis
133,753,avibase-02B06535,Anthobaphes violacea
134,530,avibase-F44BD4BE,Anthoscopus caroli
135,2848,avibase-515353F2,Anthoscopus flavifrons
136,531,avibase-E6239363,Anthoscopus minutus
137,2850,avibase-6F967270,Anthoscopus musculus
138,2852,avibase-1ED6D9B4,Anthoscopus parvulus
139,2854,avibase-5A636137,Anthoscopus punctifrons
140,3578,avibase-1DA9FFC9,Anthreptes anchietae
141,3580,avibase-74D67BDB,Anthreptes aurantius
142,3584,avibase-C13861D6,Anthreptes gabonicus
143,770,avibase-857DCDD5,Anthreptes longuemarei
144,3586,avibase-56C6CBA8,Anthreptes neglectus
145,3590,avibase-2D0C83B2,Anthreptes orientalis
146,769,avibase-67F06823,Anthreptes reichenowi
147,3594,avibase-8C506F22,Anthreptes rubritorques
148,3670,avibase-1B29AD28,Anthreptes seimundi
149,3592,avibase-35A2CCDF,Anthreptes tephrolaemus
150,700,avibase-E6629C69,Anthus brachyurus
151,699,avibase-4C7B3D81,Anthus caffer
152,3696,avibase-250CDA58,Anthus campestris
153,1028,avibase-319D044A,Anthus cervinus
154,701,avibase-71F12B23,Anthus chloris
155,692,avibase-0D7CC717,Anthus cinnamomeus
156,3692,avibase-9D49AF5D,Anthus cinnamomeus latistriatus
157,697,avibase-56CB3F84,Anthus crenatus
158,928,avibase-B855F1E4,Anthus hoeschi
159,694,avibase-ECC3F122,Anthus leucophrys
160,696,avibase-C69E0E28,Anthus lineiventris
161,3698,avibase-D8A51184,Anthus melindae
162,10877,avibase-3A1FA0A7,Anthus nicholsoni
163,691,avibase-C21A0347,Anthus nyassae
164,3700,avibase-1DD0949C,Anthus pallidiventris
165,3702,avibase-E1CBB1C2,Anthus petrosus
166,3708,avibase-41ECD10E,Anthus richardi
167,1057,avibase-6137BE25,Anthus roseatus
168,3710,avibase-8F268682,Anthus rubescens
169,10876,avibase-ECFF22D2,Anthus similis
170,693,avibase-283DD7F9,Anthus similis
171,3712,avibase-19489268,Anthus sokokensis
172,3714,avibase-0A3FA185,Anthus spinoletta
173,698,avibase-365F5E97,Anthus trivialis
174,695,avibase-3BC778CE,Anthus vaalensis
175,3060,avibase-D6C2BFD2,Apalis alticola
176,3054,avibase-D20B632B,Apalis argentea
177,3062,avibase-C3B16DBB,Apalis bamendae
178,3064,avibase-1B4DA358,Apalis binotata
179,3066,avibase-6687AA29,Apalis chapini
180,3068,avibase-184BA213,Apalis chariessa
181,927,avibase-F3D1150D,Apalis chirindensis
182,3070,avibase-7A8A8FCF,Apalis cinerea
183,625,avibase-EADB2314,Apalis flavida
184,1103,avibase-0190A968,Apalis flavigularis
185,3056,avibase-D5549C6D,Apalis fuscigularis
186,3072,avibase-3D6CB174,Apalis goslingi
187,3074,avibase-1ABAB622,Apalis jacksoni
188,3052,avibase-3454B218,Apalis kaboboensis
189,3076,avibase-D029B521,Apalis karamojae
190,3058,avibase-A3869D21,Apalis lynesi
191,623,avibase-4FE76868,Apalis melanocephala
192,3078,avibase-DA2072A7,Apalis nigriceps
193,3080,avibase-0ABADB0F,Apalis personata
194,3082,avibase-E8F03B18,Apalis porphyrolaema
195,624,avibase-32947D9C,Apalis ruddi
196,1099,avibase-75E0430B,Apalis rufogularis
197,3088,avibase-770308E9,Apalis sharpii
198,622,avibase-B285E2B0,Apalis thoracica
199,1528,avibase-9FCF19F5,Apaloderma aequatoriale
200,393,avibase-7FED5700,Apaloderma narina
201,944,avibase-2F2CB724,Apaloderma vittatum
202,950,avibase-62797BD3,Aphrodroma brevirostris
203,890,avibase-58848B71,Aptenodytes forsteri
204,987,avibase-827A77C7,Aptenodytes patagonicus
205,385,avibase-D209A90C,Apus affinis
206,1668,avibase-1C0A5AD9,Apus alexandri
207,378,avibase-4E6EF3F9,Apus apus
208,1670,avibase-20022FF9,Apus balstoni
209,380,avibase-5086F50B,Apus barbatus
210,1672,avibase-16A54020,Apus batesi
211,1674,avibase-45D3FD5A,Apus berliozi
212,381,avibase-11507BB3,Apus bradfieldi
213,383,avibase-FA9F6019,Apus caffer
214,384,avibase-FF79A533,Apus horus
215,1676,avibase-2103011F,Apus niansae
216,379,avibase-332BC664,Apus pallidus
217,1666,avibase-8B5BD4F2,Apus sladeniae
218,1678,avibase-59A5A24E,Apus unicolor
219,2092,avibase-69742EE4,Aquila adalberti
220,2144,avibase-51FD3E3C,Aquila africana
221,2094,avibase-5F8E7CA8,Aquila chrysaetos
