,ADU,TAXON CONCEPT ID,SCIENTIFIC NAME
0,4008.0,avibase-A2BB98A9,Acanthis flammea
1,161.0,avibase-1A0ECB6E,Accipiter badius
2,2074.0,avibase-8492E4B7,Accipiter brevipes
3,2076.0,avibase-9D80E72A,Accipiter castanilius
4,2078.0,avibase-AFD19C47,Accipiter erythropus
5,2080.0,avibase-0307D245,Accipiter francesiae
6,2082.0,avibase-95DD1855,Accipiter gentilis
7,2084.0,avibase-05701150,Accipiter henstii
8,2086.0,avibase-5D673E3E,Accipiter madagascariensis
9,159.0,avibase-819AB823,Accipiter melanoleucus
10,158.0,avibase-CE1CF6FD,Accipiter minullus
11,1006.0,avibase-DB376A66,Accipiter nisus
12,157.0,avibase-BAE91683,Accipiter ovampensis
13,156.0,avibase-EC0E680F,Accipiter rufiventris
14,160.0,avibase-CD18635A,Accipiter tachiro
15,2088.0,avibase-8AFD72B2,Accipiter toussenelii
16,539.0,avibase-35C5E4AF,Achaetops pycnopygius
17,734.0,avibase-F23A2F38,Acridotheres tristis
18,603.0,avibase-B283E332,Acrocephalus arundinaceus
19,606.0,,Acrocephalus baeticatus
20,3226.0,avibase-AAABFBE8,Acrocephalus brevipennis
21,604.0,avibase-4AA7817D,Acrocephalus gracilirostris
22,949.0,avibase-0D42A253,Acrocephalus griseldis
23,3228.0,avibase-E1559C49,Acrocephalus melanopogon
24,3230.0,avibase-6ED7C46F,Acrocephalus newtoni
25,3232.0,avibase-C15141A6,Acrocephalus paludicola
26,607.0,avibase-B675E006,Acrocephalus palustris
27,3234.0,avibase-DDF77AB5,Acrocephalus rodericanus
28,912.0,avibase-C8857CC8,Acrocephalus rufescens
29,608.0,avibase-FED5AED5,Acrocephalus schoenobaenus
30,911.0,avibase-3F0EE474,Acrocephalus scirpaceus
31,14242.0,avibase-3F0EE474,Acrocephalus scirpaceus
32,1176.0,avibase-E0E4DFB8,Acrocephalus sechellensis
33,3236.0,avibase-D793DF5A,Acrocephalus stentoreus
34,1260.0,avibase-F7A3FA35,Acryllium vulturinum
35,258.0,avibase-8548B07E,Actitis hypoleucos
36,1974.0,avibase-0D88C072,Actitis macularius
37,228.0,avibase-D16D486D,Actophilornis africanus
38,1996.0,avibase-640D2B03,Actophilornis albinucha
39,2090.0,avibase-158BDC90,Aegypius monachus
40,200.0,avibase-13967506,Aenigmatolimnas marginalis
41,1680.0,avibase-C983661F,Aerodramus elaphrus
42,1682.0,avibase-C831C041,Aerodramus francicus
43,1202.0,avibase-E9125492,Afropavo congensis
44,4134.0,avibase-C84BD649,Afrotis afra
45,1035.0,avibase-A6720AF5,Afrotis afraoides
46,1634.0,avibase-D4686ACD,Agapornis canus
47,1636.0,avibase-E1EE00F7,Agapornis fischeri
48,10031.0,,Agapornis fischeri x personatus
49,20004.0,avibase-96D9A285,Agapornis hybrid
50,332.0,avibase-3EBFC893,Agapornis lilianae
51,331.0,avibase-DAB4D2A2,Agapornis nigrigenis
52,1638.0,avibase-4396F4F1,Agapornis personatus
53,1640.0,avibase-1E2EC99C,Agapornis pullarius
54,330.0,avibase-31C03CB8,Agapornis roseicollis
55,1642.0,avibase-D44EE47D,Agapornis swindernianus
56,1644.0,avibase-39DAF131,Agapornis taranta
57,1262.0,avibase-E0EE1B89,Agelastes meleagrides
58,1264.0,avibase-38193321,Agelastes niger
59,1017.0,avibase-E1714A09,Aix galericulata
60,10020.0,avibase-27B2749A,Aix sponsa
61,3466.0,avibase-3E4513D9,Alaemon alaudipes
62,3468.0,avibase-8A913C34,Alaemon hamertoni
63,3470.0,avibase-ED2AC04E,Alauda arvensis
64,3472.0,avibase-359C16F5,Alauda razae
65,3482.0,avibase-5392A0C7,Alaudala athensis
66,3488.0,avibase-FE1FE185,Alaudala rufescens
67,3484.0,avibase-437C0498,Alaudala somalica
68,2034.0,avibase-64F4DD81,Alca torda
69,1552.0,avibase-9505E03D,Alcedo atthis
70,959.0,avibase-A376DE65,Alcedo quadribrachys
71,396.0,avibase-F9F5CAB0,Alcedo semitorquata
72,1204.0,avibase-D44B2846,Alectoris barbara
73,980.0,avibase-87CBEBF7,Alectoris chukar
74,1842.0,avibase-F87511B3,Alectroenas madagascariensis
75,1174.0,avibase-576B77A3,Alectroenas pulcherrimus
76,1844.0,avibase-E396A643,Alectroenas sganzini
77,2540.0,avibase-DA4D7386,Alethe castanea
78,1108.0,avibase-ECD2AB67,Alethe diademata
79,2036.0,avibase-B0932D89,Alle alle
80,89.0,avibase-DA2F24E3,Alopochen aegyptiaca
81,820.0,avibase-13BE59E4,Amadina erythrocephala
82,10021.0,avibase-FF6C3B9C,Amadina erythrocephala x fasciata
83,821.0,avibase-CDDA63E0,Amadina fasciata
